CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
ESTACION : 26103
NOMBRE : TRINCHERAS
ESTADO : SONORA
MUNICIPIO : TRINCHERAS
SITUACI�N : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM : Nulo
LATITUD : 030.399�
LONGITUD : -111.531�
ALTITUD : 510 msnm
EMISION : 06/04/2020
 PRECIP EVAP TMAX TMIN
 FECHA (MM) (MM) (�C) (�C)
01/01/1960 4 Nulo 26 8
02/01/1960 0 Nulo 25 8
03/01/1960 0 Nulo 25 7
04/01/1960 0 Nulo 18 7
05/01/1960 0 Nulo 20 5
06/01/1960 0 Nulo 18 5
07/01/1960 0 Nulo 25 6
08/01/1960 0 Nulo 27 8
09/01/1960 0 Nulo 28 5
10/01/1960 40 Nulo 26 8
11/01/1960 18 Nulo 22 10
12/01/1960 15 Nulo 20 8
13/01/1960 10 Nulo 22 8
14/01/1960 0 Nulo 23 5
15/01/1960 0.6 Nulo 20 6
16/01/1960 0 Nulo 22 5
17/01/1960 0 Nulo 20 6
18/01/1960 0 Nulo 18 5
19/01/1960 0 Nulo 20 6
20/01/1960 0 Nulo 20 7
21/01/1960 0 Nulo 22 5
22/01/1960 0 Nulo 22 7
23/01/1960 0 Nulo 24 7
24/01/1960 0 Nulo 25 8
25/01/1960 0 Nulo 28 5
26/01/1960 0 Nulo 30 7
27/01/1960 0 Nulo 25 8
28/01/1960 0 Nulo 28 5
29/01/1960 0 Nulo 30 6
30/01/1960 0 Nulo 25 8
31/01/1960 0 Nulo 28 9
01/02/1960 0 Nulo 26 6
02/02/1960 0 Nulo 28 7
03/02/1960 0 Nulo 24 5
04/02/1960 0 Nulo 28 6
05/02/1960 0 Nulo 25 7
06/02/1960 0 Nulo 28 5
07/02/1960 0 Nulo 25 6
08/02/1960 0 Nulo 28 5
09/02/1960 0 Nulo 34 8
10/02/1960 8 Nulo 30 7
11/02/1960 0 Nulo 25 5
12/02/1960 0 Nulo 25 6
13/02/1960 0 Nulo 25 8
14/02/1960 0 Nulo 26 7
15/02/1960 0 Nulo 25 8
16/02/1960 0 Nulo 28 6
17/02/1960 0 Nulo 29 6
18/02/1960 0 Nulo 25 8
19/02/1960 0 Nulo 30 5
20/02/1960 0 Nulo 25 6
21/02/1960 0 Nulo 30 7
22/02/1960 0 Nulo 25 8
23/02/1960 0 Nulo 28 6
24/02/1960 0 Nulo 29 7
25/02/1960 0 Nulo 25 7
26/02/1960 0 Nulo 28 5
27/02/1960 0 Nulo 25 6
28/02/1960 0 Nulo 28 7
29/02/1960 0 Nulo 30 8
01/03/1960 8 Nulo 28 8
02/03/1960 0 Nulo 35 7
03/03/1960 0 Nulo 30 5
04/03/1960 0 Nulo 35 7
05/03/1960 0 Nulo 35 10
06/03/1960 0 Nulo 35 8
07/03/1960 0 Nulo 38 8
08/03/1960 0 Nulo 38 8
09/03/1960 0 Nulo 38 11
10/03/1960 0 Nulo 33 12
11/03/1960 0 Nulo 36 11
12/03/1960 0 Nulo 38 12
13/03/1960 0 Nulo 38 12
14/03/1960 0 Nulo 35 10
15/03/1960 0 Nulo 34 8
16/03/1960 0 Nulo 30 7
17/03/1960 0 Nulo 38 5
18/03/1960 0 Nulo 32 9
19/03/1960 0 Nulo 31 7
20/03/1960 0 Nulo 38 6
21/03/1960 0 Nulo 30 12
22/03/1960 0 Nulo 37 10
23/03/1960 0 Nulo 30 13
24/03/1960 0 Nulo 35 7
25/03/1960 8 Nulo 34 7
26/03/1960 0 Nulo 30 8
27/03/1960 0 Nulo 30 10
28/03/1960 0 Nulo 28 10
29/03/1960 0 Nulo 23 7
30/03/1960 0 Nulo 35 6
31/03/1960 0 Nulo 34 12
01/04/1960 0 Nulo 30 10
02/04/1960 0 Nulo 32 8
03/04/1960 0 Nulo 33 9
04/04/1960 0 Nulo 27 10
05/04/1960 0 Nulo 39 8
06/04/1960 0 Nulo 35 10
07/04/1960 0 Nulo 40 6
08/04/1960 0 Nulo 38 10
09/04/1960 0 Nulo 39 8
10/04/1960 0 Nulo 38 12
11/04/1960 0 Nulo 40 9
12/04/1960 0 Nulo 35 11
13/04/1960 0 Nulo 33 13
14/04/1960 0 Nulo 32 5
15/04/1960 0 Nulo 30 8
16/04/1960 0 Nulo 36 5
17/04/1960 0 Nulo 22 10
18/04/1960 0 Nulo 27 6
19/04/1960 0 Nulo 40 9
20/04/1960 0 Nulo 39 12
21/04/1960 0 Nulo 33 12
22/04/1960 0 Nulo 30 8
23/04/1960 0 Nulo 40 7
24/04/1960 0 Nulo 36 5
25/04/1960 0 Nulo 35 9
26/04/1960 0 Nulo 37 5
27/04/1960 0 Nulo 33 11
28/04/1960 0 Nulo 39 9
29/04/1960 0 Nulo 32 12
30/04/1960 0 Nulo 32 4
01/05/1960 0 Nulo 32 10
02/05/1960 0 Nulo 35 10
03/05/1960 0 Nulo 37 13
04/05/1960 0 Nulo 30 12
05/05/1960 0 Nulo 35 8
06/05/1960 0 Nulo 28 10
07/05/1960 0 Nulo 33 8
08/05/1960 0 Nulo 34 5
09/05/1960 0 Nulo 36 11
10/05/1960 0 Nulo 41 10
11/05/1960 0 Nulo 40 13
12/05/1960 0 Nulo 35 9
13/05/1960 0 Nulo 41 8
